#Thousand Word Corpus courtesy of ASBusinessMagnet
#Feel free to modify to your own accord

#File format: word,sPoint,nPoint,yPoint,mPoint
felicidad,4,3,1,2
tristeza,4,3,1,2
muerte,4,1,2,3
tragedia,4,1,2,3
soledad,4,1,2,3
amor,4,2,1,3
aventura,4,3,1,2
dulce,4,2,1,3
emocion,4,2,1,3
pirotecnia,4,3,2,1
romance,4,2,1,3
lagrimas,4,1,2,3
depresion,4,1,3,2
corazon,4,2,1,3
matrimonio,4,2,1,3
pasion,4,2,1,3
infancia,4,3,2,1
diversion,4,3,1,2
color,4,3,2,1
esperanza,4,2,3,1
amigos,4,3,1,2
familia,4,2,1,3
fiesta,4,3,2,1
vacaciones,4,3,1,2
flojera,4,3,2,1
ensueño,4,1,2,3
dolor,4,2,3,1
fiestas,4,3,1,2
cama,4,3,1,2
pluma,4,3,2,1
veguenza,4,2,3,1
miedo,4,1,3,2
calido,4,3,1,2
flores,4,3,1,2
comodo,4,3,1,2
bailar,4,2,1,3
cantar,4,2,1,3
llorar,4,1,2,3
reir,4,3,1,2
oscuridad,4,2,3,1
soleado,4,3,1,2
lluvioso,4,3,2,1
calma,4,1,3,2
tontito,4,3,2,1
volar,4,3,2,1
maravilloso,4,3,2,1
icorrespondido,4,1,2,3
rosa,4,1,2,3
juntos,4,2,1,3
promesa,4,2,1,3
encanto,4,3,2,1
belleza,4,2,1,3
mejillas,4,3,2,1
sonrisa,4,2,1,3
roto,4,1,2,3
preciosa,4,2,1,3
oracion,4,1,3,2
torpe,4,3,2,1
perdonar,4,2,3,1
naturaleza,4,3,1,2
oceano,4,3,1,2
deslumbrar,4,3,2,1
especial,4,2,1,3
musica,4,2,1,3
suerte,4,3,2,1
desgracia,4,2,3,1
ruidoso,4,3,1,2
pacifico,4,1,3,2
divertido,4,1,3,2
atardecer,4,3,1,2
luciernagas,4,3,2,1
arcoiris,4,3,1,2
herir,4,2,3,1
jugar,4,3,2,1
brillar,4,3,2,1
cicatrices,4,2,3,1
vacio,4,1,2,3
asombroso,4,3,2,1
dolor,4,1,3,2
abrazar,4,1,2,3
extraordinario,4,2,1,3
asombroso,4,3,2,1
derrota,4,1,3,2
desesperanza,4,1,2,3
miseria,4,1,3,2
tesoro,4,3,1,2
felicidad,4,2,1,3
memorias,4,2,1,3
agradable,4,3,1,2
nostalgia,4,2,1,3
magico,4,1,2,3
extrañable,4,1,2,3
frio,4,3,1,2
velas,4,1,2,3
gritar,4,3,1,2
accidental,4,2,3,1
cielo,4,1,3,2
salida,4,1,3,2
notable,4,1,2,3
bollo,4,3,2,1
excepcional,4,2,1,3
dolor,4,2,3,1
vocal,4,3,1,2
apuesta,4,2,3,1
esperar,4,2,3,1
imaginar,4,1,2,3
atractivo,4,1,2,3
sentir,4,3,1,2
fingir,4,3,2,1
banda,4,2,1,3
valiente,4,2,3,1
llovizna,4,3,1,2
reconocer,4,1,2,3
brillando,4,1,3,2
entumecido,4,1,3,2
debil,4,3,2,1
negro,4,2,3,1
iglesia,4,1,3,2
brillante,4,1,3,2
satisfecho,4,1,3,2
galletas,4,3,2,1
muerto,4,1,3,2
angustiado,4,1,3,2
forma,4,3,2,1
noche,4,3,1,2
inocente,4,3,2,1
pastel,4,3,2,1
exclamar,4,3,1,2
cancion,4,2,1,3
jardin,4,3,2,1
montar,4,3,2,1
gritar,4,3,1,2
inesperado,4,2,3,1
pareja,4,1,2,3
chirrido,4,1,3,2
olvidar,4,2,3,1
dios,4,1,3,2
movimiento,4,3,2,1
guiño,4,1,2,3
fe,4,1,3,2
infantil,4,3,2,1
saborear,4,3,2,1
crecer,4,3,2,1
medianoche,4,2,3,1
escalar,4,3,2,1
agridulce,4,2,1,3
imagen,4,1,2,3
dolor,4,1,3,2
bendecir,4,1,3,2
explorar,4,3,1,2
presencia,4,1,2,3
distraido,4,3,2,1
cuerda,4,1,3,2
disfrutar,4,1,3,2
rugir,4,3,1,2
descansar,4,3,1,2
envidia,4,1,2,3
descubrir,4,3,1,2
encantador,4,1,2,3
enfermar,4,2,3,1
caminar,4,1,3,2
cubrirse,4,2,3,1
hojas,4,3,2,1
nervioso,4,1,3,2
expectativa,4,2,3,1
imagen,4,1,2,3
elogio,4,2,1,3
rechazo,4,1,2,3
preocupado,4,1,3,2
pasos,4,1,3,2
quedarse,4,1,2,3
paralizado,4,1,3,2
afuera,4,1,3,2
soleado,4,3,1,2
incapaz,4,3,2,1
diferente,4,2,1,3
linterna,4,1,3,2
repetir,4,2,3,1
escuchar,4,2,1,3
soledad,4,2,1,3
esposa,4,2,1,3
brisa,4,1,3,2
romper,4,1,2,3
animado,4,1,3,2
niños,4,2,1,3
paste,4,3,2,1
viaje,4,3,1,2
querido,4,1,2,3
deleite,4,2,1,3
incompresible,4,2,3,1
acurrucarse,4,1,2,3
fallar,4,1,3,2
letra,4,2,1,3
perplejo,4,2,3,1
recordar,4,2,1,3
acariciar,4,1,2,3
chillido,4,3,1,2
postre,4,3,2,1
accidente,4,2,3,1
temblar,4,1,2,3
marido,4,2,1,3
infierno,4,1,3,2
desorientado,4,2,3,1
nunca,4,1,3,2
hermoso,4,1,2,3
ganar,4,2,3,1
dormir,4,3,1,2
eternamente,4,2,1,3
canela,4,3,2,1
equivocarse,4,1,2,3
fortuna,4,2,3,1
oscurecer,4,2,3,1
recuerde,4,2,3,1
cuidado,4,2,3,1
brillo,4,1,3,2
abrazo,4,1,2,3
trueno,4,3,1,2
apuesta,4,2,3,1
animar,4,2,3,1
duda,4,3,2,1
sincero,4,2,1,3
peor,4,1,2,3
compañero,4,1,2,3
luz,4,1,3,2
siesta,4,3,1,2
creer,4,2,3,1
adios,4,1,3,2
aburrimiento,4,3,1,2
indiferente,4,2,3,1
revisita,4,2,1,3
pierde,4,2,3,1
error,4,2,3,1
tono,4,2,3,1
rayos,4,1,3,2
unico,4,2,1,3
error,4,1,2,3
aturdimiento,4,3,2,1
desafortunado,4,2,3,1
exclusivo,4,2,1,3
arrepentimiento,4,1,2,3
relampago,4,3,1,2
milagro,4,2,3,1
lluvia,4,3,1,2
cansado,4,2,3,1
instrumento,4,2,1,3
reflejar,4,1,3,2
loteria,4,2,3,1
pensamientos,4,2,1,3
grillos,4,3,1,2
serendipitoso,4,2,3,1
embrague,4,1,2,3
aguantar,4,1,2,3
lindo,2,4,1,3
esponjoso,3,4,2,1
puro,2,4,3,1
caramelos,3,4,2,1
compras,2,4,1,3
cachorro,2,4,1,3
gatito,2,4,1,3
nubes,3,4,2,1
labial,1,4,2,3
parfait,2,4,1,3
fresa,3,4,2,1
rosa,2,4,1,3
chocolate,2,4,1,3
latidos,1,4,2,3
beso,1,4,2,3
melodia,2,4,1,3
cinta,3,4,1,2
saltar,2,4,1,3
doki-doki,2,4,1,3
kawaii,2,4,1,3
falda,3,4,1,2
mejillas,3,4,1,2
email,2,4,1,3
pegajoso,3,4,2,1
rebote,2,4,1,3
brillante,3,4,2,1
mordisquear,3,4,2,1
fantasia,1,4,2,3
azucar,3,4,2,1
risa,3,4,1,2
malvavisco,3,4,2,1
esperanza,3,4,1,2
salto,3,4,1,2
paz,3,4,1,2
girando,3,4,1,2
giro,3,4,1,2
piruleta,3,4,2,1
tierno,3,4,2,1
burbujas,3,4,1,2
susurro,3,4,1,2
verano,3,4,1,2
cascada,2,4,3,1
bikini,3,4,1,2
vainilla,3,4,2,1
auriculares,3,4,1,2
juegos,3,4,1,2
calcetines,3,4,1,2
pelo,2,4,1,3
patio,3,4,1,2
camison,1,4,3,2
manta,1,4,3,2
leche,3,4,2,1
puchero,3,4,2,1
ira,3,4,1,2
papa,3,4,1,2
valentin,2,4,1,3
raton,2,4,3,1
silbar,3,4,1,2
boop,3,4,1,2
conejo,2,4,1,3
anime,2,4,1,3
salto,3,4,1,2
razon,1,4,3,2
comprender,1,4,2,3
tosca,3,4,2,1
revel,1,4,2,3
trenza,2,4,1,3
disparador,1,4,3,2
maton,2,4,3,1
asco,3,4,2,1
bam,3,4,2,1
loco,3,4,2,1
conejo,2,4,3,1
cerdito,2,4,1,3
balancin,3,4,1,2
extranjero,1,4,2,3
pasta,1,4,2,3
manga,2,4,1,3
odio,2,4,3,1
muñequera,1,4,2,3
rumor,2,4,3,1
jadeo,1,4,2,3
bandeja,1,4,2,3
cabello,2,4,1,3
envoltura,2,4,1,3
rechazo,1,4,3,2
mar,1,4,3,2
resolver,1,4,3,2
explicar,1,4,2,3
playa,1,4,3,2
eructar,3,4,2,1
broma,2,4,3,1
momentaneo,1,4,2,3
ostracismo,1,4,3,2
excluir,1,4,3,2
trigo,2,4,3,1
suave,3,4,2,1
ducha,1,4,2,3
pensativo,1,4,2,3
pajaro,2,4,3,1
competente,1,4,2,3
bigotes,2,4,1,3
boom,3,4,2,1
romper,3,4,2,1
regalo,2,4,1,3
ilogico,1,4,3,2
inmaduro,1,4,3,2
muñeca,1,4,2,3
detective,3,4,2,1
paraguas,1,4,2,3
sugoi,2,4,1,3
gesto,3,4,1,2
naves,1,4,3,2
ondas,1,4,3,2
perturbar,2,4,3,1
nulo,1,4,3,2
botellas,1,4,3,2
pijamada,1,4,3,2
amistad,2,4,3,1
tocar,1,4,2,3
sustancial,3,4,2,1
interrumpir,1,4,3,2
reciproco,1,4,3,2
maullido,2,4,3,1
idioma,1,4,2,3
fluido,1,4,2,3
incorrecto,1,4,3,2
explicacion,3,4,2,1
traicionar,2,4,3,1
sospechoso,3,4,2,1
zorro,2,4,3,1
retardado,1,4,3,2
extracto,1,4,3,2
ausencia,1,4,3,2
ropa,1,4,3,2
galimatias,1,4,2,3
champu,1,4,2,3
burla,3,4,1,2
jugueton,2,4,3,1
baka,2,4,1,3
maiz,2,4,3,1
mimo,3,4,1,2
vaca,2,4,3,1
bosque,2,4,3,1
anecdota,2,4,3,1
internet,2,4,1,3
lloron,3,4,2,1
aprietar,3,4,1,2
maleta,1,4,2,3
organizacion,1,4,2,3
interrumpir,2,4,3,1
rayo,3,4,1,2
golpear,3,4,1,2
sorpresa,2,4,1,3
mayonesa,3,4,2,1
conflicto,1,4,3,2
cupcakes,3,4,2,1
higiene,1,4,2,3
razonable,1,4,2,3
escandaloso,1,4,3,2
tostadas,3,4,2,1
huevos,3,4,2,1
alienigena,1,4,2,3
musica,3,4,1,2
emoji,2,4,1,3
insultar,2,4,3,1
florida,1,4,3,2
trampa,3,4,1,2
inteligente,1,4,2,3
campo,2,4,3,1
deducir,3,4,2,1
online,2,4,1,3
aplastar,3,4,2,1
rodando,1,4,3,2
lobo,3,4,2,1
bofetada,2,4,3,1
