#File format: word,sPoint,nPoint,yPoint,mPoint
felicidad,4,3,1,2
tristeza,4,3,1,2
muerte,4,1,2,3
tragedia,4,1,2,3
soledad,4,1,2,3
amor,4,2,1,3
aventura,4,3,1,2
dulce,4,2,1,3
emocion,4,2,1,3
pirotecnia,4,3,2,1
romance,4,2,1,3
lagrimas,4,1,2,3
depresion,4,1,3,2
corazon,4,2,1,3
matrimonio,4,2,1,3
pasion,4,2,1,3
infancia,4,3,2,1
diversion,4,3,1,2
color,4,3,2,1
esperanza,4,2,3,1
amigos,4,3,1,2
familia,4,2,1,3
fiesta,4,3,2,1
vacaciones,4,3,1,2
flojera,4,3,2,1
ensueño,4,1,2,3
dolor,4,2,3,1
fiestas,4,3,1,2
cama,4,3,1,2
pluma,4,3,2,1
verguenza,4,2,3,1
miedo,4,1,3,2
calido,4,3,1,2
flores,4,3,1,2
comodidad,4,3,1,2
baile,4,2,1,3
cantar,4,2,1,3
llorar,4,1,2,3
reir,4,3,1,2
oscuridad,4,2,3,1
soleado,4,3,1,2
lluvioso,4,3,2,1
calma,4,1,3,2
tontito,4,3,2,1
volar,4,3,2,1
maravilloso,4,3,2,1
incorrespondido,4,1,2,3
rosa,4,1,2,3
juntos,4,2,1,3
promesa,4,2,1,3
encanto,4,3,2,1
belleza,4,2,1,3
animar,4,3,2,1
sonrisa,4,2,1,3
roto,4,1,2,3
precioso,4,2,1,3
oracion,4,1,3,2
torpe,4,3,2,1
perdonar,4,2,3,1
naturaleza,4,3,1,2
oceano,4,3,1,2
deslumbrar,4,3,2,1
especial,4,2,1,3
musica,4,2,1,3
suerte,4,3,2,1
desgracia,4,2,3,1
ruidoso,4,3,1,2
pacifico,4,1,3,2
alegria,4,1,3,2
atardecer,4,3,1,2
luciernagas,4,3,2,1
arcoiris,4,3,1,2
herido,4,2,3,1
jugar,4,3,2,1
brillar,4,3,2,1
cicatriz,4,2,3,1
vacio,4,1,2,3
asombroso,4,3,2,1
dolor,4,1,3,2
abrazar,4,1,2,3
extraordinario,4,2,1,3
asombroso,4,3,2,1
derrota,4,1,3,2
desesperanza,4,1,2,3
miseria,4,1,3,2
tesoro,4,3,1,2
felicidad,4,2,1,3
memorias,4,2,1,3
entrañable,4,1,2,3
medianoche,4,2,3,1
abrazo,4,1,2,3
lluvia,4,3,1,2
fortuito,4,2,3,1
linda,2,4,1,3
mullido,3,4,2,1
puro,2,4,3,1
dulce,3,4,2,1
comprar,2,4,1,3
perrito,2,4,1,3
gatito,2,4,1,3
nubes,3,4,2,1
labial,1,4,2,3
parfait,2,4,1,3
fresa,3,4,2,1
rosa,2,4,1,3
chocolate,2,4,1,3
latido,1,4,2,3
beso,1,4,2,3
melodia,2,4,1,3
cinta,3,4,1,2
salto,2,4,1,3
doki-doki,2,4,1,3
kawaii,2,4,1,3
falda,3,4,1,2
mejillas,3,4,1,2
email,2,4,1,3
pegajoso,3,4,2,1
muelle,2,4,1,3
brillante,3,4,2,1
picar,3,4,2,1
fantasia,1,4,2,3
azucar,3,4,2,1
risilla,3,4,1,2
malvavisco,3,4,2,1
esperanza,3,4,1,2
saltando,3,4,1,2
paz,3,4,1,2
girando,3,4,1,2
giro,3,4,1,2
piruleta,3,4,2,1
poof,3,4,2,1
burbujas,3,4,1,2
susurro,3,4,1,2
verano,3,4,1,2
cascada,2,4,3,1
bikini,3,4,1,2
vainilla,3,4,2,1
audifonos,3,4,1,2
juegos,3,4,1,2
medias,3,4,1,2
cabello,2,4,1,3
patio,3,4,1,2
camison,1,4,3,2
manta,1,4,3,2
leche,3,4,2,1
puchero,3,4,2,1
ira,3,4,1,2
papa,3,4,1,2
valentin,2,4,1,3
raton,2,4,3,1
silbato,3,4,1,2
boop,3,4,1,2
conejito,2,4,1,3
anime,2,4,1,3
salto,3,4,1,2
higiene,1,4,2,3
moda,3,4,1,2
determinacion,2,1,4,3
suicidio,3,1,4,2
imaginacion,3,1,4,2
secreto,3,2,4,1
vitalidad,1,3,4,2
existencia,2,1,4,3
efulgente,3,2,4,1
carmesi,3,2,4,1
torbellino,3,2,4,1
ilusion,3,2,4,1
vertigo,1,3,4,2
desorientado,3,1,4,2
esencia,2,1,4,3
ambiente,2,1,4,3
paisaje,2,1,4,3
desorden,3,2,4,1
contaminacion,3,2,4,1
intelectual,2,1,4,3
analisis,2,1,4,3
entropia,1,2,4,3
vivaz,3,2,4,1
extraño,3,2,4,1
incongruente,2,1,4,3
ira,3,2,4,1
celestial,2,1,4,3
masacre,3,2,4,1
filosofia,2,1,4,3
inconstante,3,1,4,2
tenaz,3,1,4,2
aura,2,1,4,3
inestable,3,1,4,2
infierno,3,2,4,1
incapaz,3,2,4,1
destino,2,1,4,3
infalible,2,1,4,3
agonizante,3,1,4,2
variedad,3,1,4,2
incontrolable,3,1,4,2
extremo,2,1,4,3
huir,3,2,4,1
sueño,2,1,4,3
desastre,3,1,4,2
vivido,3,1,4,2
vibrante,1,3,4,2
pregunta,1,2,4,3
festin,3,2,4,1
juicio,2,1,4,3
jaula,1,2,4,3
explotar,2,3,4,1
placer,1,3,4,2
lujuria,1,3,4,2
sensacion,1,3,4,2
climax,1,3,4,2
electricidad,1,2,4,3
repudiar,3,1,4,2
despreciar,3,2,4,1
infinito,2,1,4,3
eternidad,2,1,4,3
tiempo,2,1,4,3
universo,2,1,4,3
interminable,2,1,4,3
rocio,3,1,4,2
codiciar,1,3,4,2
irrestringido,3,1,4,2
paisaje,2,1,4,3
retrato,2,1,4,3
viaje,3,1,4,2
magro,3,1,4,2
ansiedad,3,2,4,1
aterrador,3,1,4,2
horror,3,1,4,2
melancolia,3,1,4,2
percepcion,2,1,4,3
expiar,3,1,4,2
respirar,1,3,4,2
cautivo,3,1,4,2
deseo,1,3,4,2
cementerio,3,2,4,1
enigma,1,3,4,2
simulacro,3,2,4,1
iluminacion,3,2,4,1
aroma,1,2,4,3
clandestino,1,3,4,2
arcano,1,3,4,2
receptaculo,1,2,4,3
abismo,1,2,4,3
efusion,1,2,4,3
distorsionar,1,3,4,2
converger,2,1,4,3
mutable,3,1,4,2
envidia,3,1,2,4
futuro,3,1,2,4
confianza,3,2,1,4
ardor,3,2,1,4
realidad,3,1,2,4
finito,3,1,2,4
alma,3,1,2,4
gentil,3,1,2,4
paciencia,3,1,2,4
extrovertido,3,2,1,4
arrepentirse,3,1,2,4
volicion,3,2,1,4
renunciar,3,1,2,4
escapada,2,3,1,4
razonable,1,3,2,4
verdad,1,3,2,4
persistencia,2,3,1,4
habilidad,2,3,1,4
tacto,1,3,2,4
obtener,2,3,1,4
cafe,2,3,1,4
simulacion,2,3,1,4
continuidad,2,3,1,4
grabar,1,3,2,4
restitucion,1,3,2,4
esfuerzo,2,3,1,4
valor,2,3,1,4
compitiendo,2,3,1,4
trascender,2,3,1,4
sentencia,2,1,3,4
periferia,2,1,3,4
musa,1,2,3,4
orquesta,1,2,3,4
sustento,2,1,3,4
formal,1,2,3,4
linguistico,1,2,3,4
cordial,1,2,3,4
ubuntu,2,1,3,4
estudiar,1,2,3,4
facultad,1,2,3,4
esmeralda,2,1,3,4
perpetuo,2,1,3,4
esoterico,1,2,3,4
alineacion,2,1,3,4
creatividad,2,1,3,4
apocrifo,1,2,3,4
pomposo,1,2,3,4
literatura,1,2,3,4
aislamiento,2,1,3,4
sostener,2,3,1,4
avidez,3,3,1,4
profundizar,3,2,1,4
tamizar,1,2,2,4
